NUM,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE
55,ALDS1_10_B,Matrix Chain Multiplication,1,65536,100,995,2146,0,False,False,False,0,0.32,0,1212,36,2,577,319
56,ALDS1_10_C,Longest Common Subsequence,1,65536,100,1043,4633,0,False,False,False,0,0.32,0,1573,595,39,1503,923
57,ALDS1_11_A,Graph,1,65536,100,1401,3238,0,False,False,False,0,0.32,0,1666,14,0,1297,261
58,ALDS1_11_B,Depth First Search,1,65536,100,1270,3362,0,False,False,False,0,0.32,0,1663,33,0,1394,272
59,ALDS1_11_C,Breadth First Search,1,65536,100,1004,2580,0,False,False,False,0,0.32,0,1313,73,8,962,224
60,ALDS1_12_A,Minimum Spanning Tree,1,65536,100,1059,2580,0,False,False,False,0,0.32,0,1393,60,0,886,241
61,ALDS1_12_B,Single Source Shortest Path I,1,65536,100,921,2071,0,False,False,False,0,0.32,0,1232,40,14,632,153
62,ALDS1_12_C,Single Source Shortest Path II,1,131072,100,462,2101,0,False,False,False,0,0.32,0,849,262,296,319,375
63,ITP1_10_A,Distance,1,65536,100,2395,5307,0,False,False,False,0,0.32,0,2735,11,0,1863,698
64,ITP1_10_B,Triangle,1,65536,100,2154,4384,0,False,False,False,0,0.32,0,2480,1,0,1753,150
65,ITP1_10_C,Standard Deviation,1,65536,100,2078,5536,0,False,False,False,0,0.32,0,2472,252,2,2366,444
66,DSL_1_A,Disjoint Set: Union Find Tree,3,65536,100,686,1766,0,False,False,False,0,0.32,0,1191,133,39,234,169
67,DSL_2_A,Range Minimum Query (RMQ),2,65536,100,477,2620,0,False,False,False,0,0.32,0,1154,281,28,862,293
68,DSL_2_B,Range Sum Query (RSQ),1,65536,100,415,1435,0,False,False,False,0,0.32,0,781,68,5,484,97
69,CGL_1_A,Projection,1,65536,100,353,904,0,False,False,False,0,0.3626062323,0,548,0,0,335,21
70,CGL_1_B,Reflection,1,65536,100,315,513,0,False,False,False,0,0.4063492063,0,427,0,0,84,2
71,CGL_1_C,Counter-Clockwise,1,65536,100,296,708,0,False,False,False,0,0.4324324324,0,398,1,0,303,6
72,CGL_2_A,Parallel/Orthogonal,1,65536,100,305,621,0,False,False,False,0,0.4196721311,0,429,0,0,184,8
73,CGL_2_B,Intersection,1,65536,100,270,866,0,False,False,False,0,0.4740740741,0,387,1,0,465,13
74,CGL_2_C,Cross Point,1,65536,100,257,461,0,False,False,False,0,0.4980544747,0,353,2,0,104,1
75,CGL_2_D,Distance,1,65536,100,217,476,0,False,False,False,0,0.5898617512,0,283,2,0,184,7
76,CGL_7_B,Incircle of a Triangle,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
77,CGL_5_C,Area Searc (kd Tree),1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
78,CGL_5_A,Closest Pair,1,65536,100,107,843,0,False,False,False,0,1.1962616822,0,234,215,7,330,57
79,CGL_5_B,Volonoi Diagram,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
80,CGL_4_B,Diameter of a Convex Polygon,1,65536,100,97,310,0,False,False,False,0,1.3195876289,0,159,58,0,81,12
81,CGL_4_C,Convex Cut,1,65536,100,77,348,0,False,False,False,0,1.6623376623,0,109,1,0,189,49
82,CGL_4_D,Intersection of Convex Polygons,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
83,CGL_4_A,Convex Hull,1,65536,100,191,1301,0,False,False,False,0,0.6701570681,0,412,133,0,656,100
84,CGL_3_C,Polygon-Point Containment,1,65536,100,194,535,0,False,False,False,0,0.6597938144,0,283,3,0,244,5
85,CGL_3_B,Is-Convex,1,65536,100,150,377,0,False,False,False,0,0.8533333333,0,189,0,0,186,2
86,CGL_3_A,Area,1,65536,100,242,744,0,False,False,False,0,0.5289256198,0,412,2,0,308,22
87,GRL_1_E,K-th Shortest Path,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
88,GRL_1_B,Single Source Shortest Path (Negative Edges),1,65536,100,323,1137,0,False,False,False,0,0.3962848297,0,522,39,4,539,33
89,GRL_1_C,All Pairs Shortest Path,1,65536,100,372,1639,0,False,False,False,0,0.3440860215,0,552,6,8,1036,37
90,GRL_1_D,Single Source Shortest Path (Pathfinding),1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
91,GRL_2_A,Minimum Spanning Tree,1,65536,100,377,1142,0,False,False,False,0,0.3395225464,0,652,53,82,233,122
92,GRL_2_B,Minimum-Cost Arborescence,1,65536,100,57,314,0,False,False,False,0,2.2456140351,0,106,4,1,183,20
93,GRL_2_C,Steiner Tree,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
94,GRL_3_B,Bridges,1,65536,100,188,617,0,False,False,False,0,0.6808510638,0,285,28,2,279,23
95,GRL_3_A,Articulation Points,1,65536,100,260,1049,0,False,False,False,0,0.4923076923,0,435,30,7,470,107
96,GRL_3_C,Strongly Connected Components,1,65536,100,214,741,0,False,False,False,0,0.5981308411,0,451,23,5,161,101
97,GRL_5_B,Height of a Tree,1,65536,100,72,259,0,False,False,False,0,1.7777777778,0,113,80,8,41,17
98,GRL_5_A,Diameter of a Tree,1,65536,100,219,626,0,False,False,False,0,0.5844748858,0,354,21,7,106,138
99,CGL_7_G,Common Tangent,1,65536,100,44,108,0,False,False,False,0,2.9090909091,0,55,0,0,52,1
100,NTL_1_A,Prime Factorize,1,65536,100,452,2216,0,False,False,False,0,0.32,0,611,457,70,886,192
101,NTL_1_B,Power,1,65536,100,445,1713,0,False,False,False,0,0.32,0,676,183,33,739,82
102,NTL_1_C,Least Common Multiple,1,65536,100,318,509,0,False,False,False,0,0.4025157233,0,389,16,1,74,29
103,NTL_1_D,Euler's Phi Function,1,65536,100,213,609,0,False,False,False,0,0.6009389671,0,266,110,30,168,35
104,DPL_1_A,Coin Changing Problem,1,65536,100,719,2209,0,False,False,False,0,0.32,0,1059,165,23,714,248
105,DPL_1_B,0-1 Knapsack Problem,1,65536,100,859,2901,0,False,False,False,0,0.32,0,1393,139,28,1110,231
106,DPL_1_C,Knapsack Problem,1,65536,100,524,1279,0,False,False,False,0,0.32,0,699,111,24,350,95
107,DPL_1_D,Longest Increasing Subsequence,1,65536,100,415,1795,0,False,False,False,0,0.32,0,676,294,15,720,90
108,GRL_4_A,Cycle Detection for a Directed Graph,1,65536,100,157,401,0,False,False,False,0,0.8152866242,0,204,55,13,106,23
109,DSL_2_C,Range Search (kD Tree),1,262144,100,163,1570,0,False,False,False,0,0.7852760736,0,357,652,113,339,109
110,DPL_2_A,Traveling Salesman Problem,1,65536,100,208,659,0,False,False,False,0,0.6153846154,0,345,63,16,216,19
111,DPL_2_B,Chinese Postman Problem,1,65536,100,58,131,0,False,False,False,0,2.2068965517,0,73,2,1,48,7
112,DPL_1_E,Edit Distance (Levenshtein Distance),1,65536,100,319,883,0,False,False,False,0,0.4012539185,0,409,6,2,411,55
113,GRL_5_C,Lowest Common Ancestor,1,65536,100,172,914,0,False,False,False,0,0.7441860465,0,456,90,23,162,183
114,NTL_1_E,Extended Euclid Algorithm,1,65536,100,181,411,0,False,False,False,0,0.7071823204,0,233,37,0,115,26
115,GRL_7_A,Bipartite Matching,1,65536,100,172,433,0,False,False,False,0,0.7441860465,0,262,18,0,106,47
116,GRL_1_A,Single Source Shortest Path,3,131072,100,498,2854,0,False,False,False,0,0.32,0,1007,432,133,946,336
117,ALDS1_1_D,Maximum Profit,1,65536,100,2586,12573,0,False,False,False,0,0.32,0,3761,1618,103,6082,1009
118,ALDS1_2_D,Shell Sort,6,131072,100,1098,5741,0,False,False,False,0,0.32,0,1846,188,48,2853,794
119,ALDS1_3_D,Areas on the Cross-Section Diagram,1,65536,100,775,3003,0,False,False,False,0,0.32,0,1166,116,34,1376,311
120,ALDS1_4_D,Allocation,1,65536,100,783,3814,0,False,False,False,0,0.32,0,1324,535,11,1660,284
121,ALDS1_5_D,The Number of Inversions,1,65536,100,533,2441,0,False,False,False,0,0.32,0,768,500,14,1018,141
122,ALDS1_6_D,Minimum Cost Sort,1,65536,100,300,1210,0,False,False,False,0,0.4266666667,0,421,55,11,658,65
123,ALDS1_7_D,Reconstruction of a Tree,1,65536,100,384,881,0,False,False,False,0,0.3333333333,0,488,8,0,249,136
124,ITP1_1_D,Watch,1,65536,100,8483,19241,0,False,False,False,0,0.32,0,10471,37,0,6889,1844
125,ITP1_2_D,Circle in a Rectangle,1,65536,100,6286,17257,0,False,False,False,0,0.32,0,7527,21,0,8645,1064
126,ITP1_3_D,How Many Divisors?,1,65536,100,5577,11130,0,False,False,False,0,0.32,0,6645,189,0,3498,798
127,ITP1_4_D,"Min, Max and Sum",1,65536,100,4717,22387,0,False,False,False,0,0.32,0,6112,181,10,14537,1547
128,ITP1_5_D,Structured Programming,1,65536,100,3315,16823,0,False,False,False,0,0.32,0,3934,444,9,11959,475
129,ITP1_6_D,Matrix Vector Multiplication,1,65536,100,2973,5879,0,False,False,False,0,0.32,0,3481,107,1,1548,742
130,ITP1_7_D,Matrix Multiplication,1,65536,100,2446,10177,0,False,False,False,0,0.32,0,3042,115,6,6247,767
131,ITP1_8_D,Ring,1,65536,100,2136,5208,0,False,False,False,0,0.32,0,2636,73,2,1975,522
132,ITP1_9_D,Transformation,1,65536,100,1703,4586,0,False,False,False,0,0.32,0,2054,38,1,1821,672
133,ITP1_10_D,Distance II,1,65536,100,1809,3876,0,False,False,False,0,0.32,0,2174,20,0,1436,244
134,ITP1_11_A,Dice I,1,65536,100,1534,3403,0,False,False,False,0,0.32,0,2074,21,0,998,310
135,ITP1_11_B,Dice II,1,65536,100,1266,2680,0,False,False,False,0,0.32,0,1662,146,6,669,197
136,ITP1_11_C,Dice III,1,65536,100,1103,4252,0,False,False,False,0,0.32,0,1620,112,4,2343,173
137,ITP1_11_D,Dice IV,1,65536,100,1028,3399,0,False,False,False,0,0.32,0,1479,143,10,1483,284
138,ALDS1_13_A,8 Queens Problem,1,65536,100,377,842,0,False,False,False,0,0.3395225464,0,488,4,0,281,69
139,ALDS1_13_B,8 Puzzle,1,65536,100,229,1204,0,False,False,False,0,0.5589519651,0,360,196,105,392,151
140,ALDS1_13_C,15 Puzzle,3,262144,100,136,1101,0,False,False,False,0,0.9411764706,0,307,224,272,240,58
141,ALDS1_11_D,Connected Components,1,65536,100,442,2208,0,False,False,False,0,0.32,0,697,354,97,655,405
142,GRL_6_A,Maximum Flow,1,65536,100,244,1312,0,False,False,False,0,0.5245901639,0,761,91,6,343,111
143,GRL_4_B,Topological Sort,1,65536,100,291,776,0,False,False,False,0,0.439862543,0,505,16,28,148,79
144,CGL_7_A,Intersection,1,65536,100,72,101,0,False,False,False,0,1.7777777778,0,80,1,0,14,6
145,CGL_7_D,Cross Points of a Circle and a Line,1,65536,100,141,430,0,False,False,False,0,0.9078014184,0,200,1,0,204,25
146,CGL_7_E,Cross Points of Circles,1,65536,100,134,351,0,False,False,False,0,0.9552238806,0,180,0,0,163,8
147,DPL_3_A,Largest Square,1,65536,100,197,862,0,False,False,False,0,0.6497461929,0,322,33,30,413,64
148,DPL_3_B,Largest Rectangle,1,65536,100,135,582,0,False,False,False,0,0.9481481481,0,198,68,15,258,43
149,CGL_6_A,Segment Intersections: Manhattan Geometry,2,65536,100,69,322,0,False,False,False,0,1.8550724638,0,137,35,0,140,10
150,ALDS1_14_A,Naive String Search,1,65536,100,253,456,0,False,False,False,0,0.5059288538,0,315,12,0,70,59
151,ALDS1_14_B,String Search,1,262144,100,163,1156,0,False,False,False,0,0.7852760736,0,279,520,2,259,96
152,ALDS1_14_C,Pattern Search,3,262144,100,63,434,0,False,False,False,0,2.0317460318,0,97,136,10,140,51
153,ALDS1_14_D,Multiple String Matching,3,262144,100,65,933,0,False,False,False,0,1.9692307692,0,178,314,45,234,162
154,GRL_6_B,Minimum Cost Flow,1,65536,100,114,309,0,False,False,False,0,1.1228070175,0,194,6,6,83,20
155,CGL_7_C,Excircle of a Triangle,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0
156,CGL_7_F,Tangent to a Circle,1,65536,100,51,63,0,False,False,False,0,2.5098039216,0,56,0,0,7,0
157,DSL_4_A,Union of Rectangles,6,262144,100,51,206,0,False,False,False,0,2.5098039216,0,76,21,4,73,32
158,DSL_3_C,The Number of Windows,3,131072,100,58,164,0,False,False,False,0,2.2068965517,0,85,12,0,56,11
159,DSL_5_A,The Maximum Number of Customers,1,131072,100,83,171,0,False,False,False,0,1.5421686747,0,95,18,0,58,0
160,DSL_3_A,The Smallest Window I,1,131072,100,85,302,0,False,False,False,0,1.5058823529,0,135,25,2,124,16
161,DPL_1_F,0-1 Knapsack Problem II,1,131072,100,94,238,0,False,False,False,0,1.3617021277,0,112,4,7,84,31
162,DPL_1_G,Knapsack Problem with Limitations,1,131072,100,54,165,0,False,False,False,0,2.3703703704,0,71,38,3,42,11
163,DPL_4_B,Coin Combination Problem II,3,262144,100,34,74,0,False,False,False,0,3.7647058824,0,43,5,0,22,4
164,DPL_1_H,Huge Knapsack Problem,2,262144,100,41,246,0,False,False,False,0,3.1219512195,0,65,25,7,131,18
165,CGL_7_H,Intersection of a Circle and a Polygon,1,131072,100,19,93,0,False,False,False,0,6.7368421053,0,36,0,0,45,12
166,DSL_2_D,Range Update Query (RUQ),1,262144,100,103,300,0,False,False,False,0,1.2427184466,0,156,30,2,97,15
167,DSL_2_E,Range Add Query (RAQ),1,262144,100,107,256,0,False,False,False,0,1.1962616822,0,158,12,9,67,10
168,DSL_2_F,RMQ and RUQ,1,262144,100,97,288,0,False,False,False,0,1.3195876289,0,157,12,5,105,9
169,DSL_2_G,RSQ and RAQ,1,262144,100,102,360,0,False,False,False,0,1.2549019608,0,185,16,3,147,9
170,DPL_4_A,Coin Combination Problem,2,262144,100,43,102,0,False,False,False,0,2.9767441861,0,57,4,0,39,2
171,DPL_3_C,Largest Rectangle in a Histogram,1,262144,100,34,137,0,False,False,False,0,3.7647058824,0,45,3,0,84,5
172,DPL_2_C,Bitonic Traveling Salesman Problem,1,262144,100,15,30,0,False,False,False,0,8.5333333333,0,21,1,0,6,2
173,DSL_5_B,The Maximum Number of Overlaps,1,131072,100,21,37,0,False,False,False,0,6.0952380952,0,23,8,0,5,1
174,DSL_3_B,The Smallest Window II,1,262144,100,15,46,0,False,False,False,0,8.5333333333,0,16,2,0,27,1
175,DSL_3_D,Sliding Minimum Elements,2,262144,100,18,547,0,False,False,False,0,7.1111111111,0,25,264,1,136,121
176,0,QQ,1,65536,0,11486,30780,0,False,False,False,0,0.32,0,17863,411,33,9529,2893
177,1,List of Top 3 Hills,1,65536,0,8406,25047,1,False,False,False,0,0.32,0,12651,348,7,8887,3115
178,2,Digit Number,1,65536,0,6903,24270,0,False,False,False,0,0.32,0,9540,1800,17,9703,3187
179,3,Is it a Right Triangle?,1,65536,0,6562,17619,0,False,False,False,0,0.32,0,8754,194,6,6995,1665
180,4,Simultaneous Equation,1,65536,0,4365,22500,0,False,False,False,0,0.32,0,5726,539,8,14246,1976
181,5,GCD and LCM,1,65536,0,4761,15633,0,False,False,False,0,0.32,0,6927,2220,21,4917,1526
182,6,Reverse Sequence,1,65536,0,5077,13987,0,False,False,False,0,0.32,0,6674,161,1,5224,1907
183,7,Debt Hell,1,65536,0,4681,10988,0,False,False,False,0,0.32,0,5621,30,1,4797,532
184,8,Sum of 4 Integers,1,65536,0,4463,9499,0,False,False,False,0,0.32,0,5666,527,1,2823,480
185,9,Prime Number,1,65536,0,3792,23955,0,False,False,False,0,0.32,0,6400,8209,152,5784,3360
186,10,Circumscribed Circle of a Triangle,1,65536,0,1835,6290,0,False,False,False,0,0.32,0,2318,45,1,3552,374
187,11,Drawing Lots,1,65536,0,3536,5900,0,False,False,False,0,0.32,0,4099,29,8,948,814
188,12,A Point in a Triangle,1,65536,0,1782,5541,0,False,False,False,0,0.32,0,2284,68,1,2933,255
189,13,Switching Railroad Cars,1,65536,0,2950,6448,0,False,False,False,0,0.32,0,3605,122,3,1748,965
190,14,Integral,1,65536,0,2763,4276,0,False,False,False,0,0.32,0,3230,112,0,769,159
191,15,National Budget,1,65536,0,1849,9850,0,False,False,False,0,0.32,0,2361,941,8,4569,1969
192,16,Treasure Hunt,1,65536,0,1848,3874,0,False,False,False,0,0.32,0,2146,93,6,1485,142
193,17,Caesar Cipher,1,65536,0,1711,7865,0,False,False,False,0,0.32,0,2236,643,54,4285,647
194,18,Sorting Five Numbers,1,65536,0,2670,7143,0,False,False,False,0,0.32,0,3212,70,5,3488,366
195,19,Factorial,1,65536,0,2706,8910,0,False,False,False,0,0.32,0,3664,141,1,4677,414
196,20,Capitalize,1,65536,0,2452,5021,0,False,False,False,0,0.32,0,2937,70,2,1567,445
197,21,Parallelism,1,65536,0,1768,10989,0,False,False,False,0,0.32,0,2283,35,0,8053,618
198,22,Maximum Sum Sequence,1,65536,0,1751,7357,0,False,False,False,0,0.32,0,2260,813,62,3782,430
199,23,Circles Intersection,1,65536,0,1440,4957,0,False,False,False,0,0.32,0,1738,23,0,3088,108
200,24,Physical Experiments,1,65536,0,1819,4012,0,False,False,False,0,0.32,0,2190,92,0,1628,102
201,25,Hit and Blow,1,65536,0,2286,4588,0,False,False,False,0,0.32,0,2727,246,1,1146,468
202,26,Dropping Ink,1,65536,0,1699,4476,0,False,False,False,0,0.32,0,2118,146,7,1610,594
203,27,What day is today?,1,65536,0,1984,3839,0,False,False,False,0,0.32,0,2308,54,0,1209,262
204,28,Mode Value,1,65536,0,2126,3662,0,False,False,False,0,0.32,0,2526,66,4,696,370
205,29,English Sentence,1,65536,0,1759,3584,0,False,False,False,0,0.32,0,2198,18,8,1121,238
206,30,Sum of Integers,1,65536,0,1534,4021,0,False,False,False,0,0.32,0,2081,216,21,1466,237
207,31,Weight,1,65536,0,1710,4284,0,False,False,False,0,0.32,0,2037,84,12,1987,164
208,32,Plastic Board,1,65536,0,1693,2910,0,False,False,False,0,0.32,0,1881,115,4,772,138
209,33,Ball,1,65536,0,2189,6384,0,False,False,False,0,0.32,0,3232,36,1,2879,228
210,34,Railway Lines,1,65536,0,1319,2219,0,False,False,False,0,0.32,0,1476,123,0,536,80
211,35,Is it Convex?,1,65536,0,933,2297,0,False,False,False,0,0.32,0,1108,41,5,1077,66
212,36,A Figure on Surface,1,65536,0,1134,3705,0,False,False,False,0,0.32,0,1342,146,0,1469,747
213,37,Path on a Grid,1,65536,0,592,1792,0,False,False,False,0,0.32,0,738,228,14,672,138
214,38,Poker Hand,1,65536,0,1112,2246,0,False,False,False,0,0.32,0,1280,72,0,827,67
215,39,Roman Figure,1,65536,0,1093,1786,0,False,False,False,0,0.32,0,1234,20,3,450,78
216,40,Affine Cipher,1,65536,0,731,2004,0,False,False,False,0,0.32,0,883,127,8,865,119
217,41,Expression,1,65536,0,550,1538,0,False,False,False,0,0.32,0,762,14,3,719,34
218,42,A Thief,1,65536,0,1060,5265,0,False,False,False,0,0.32,0,1615,487,132,2630,396
219,43,Puzzle,1,65536,0,612,1284,0,False,False,False,0,0.32,0,777,42,0,403,62
220,44,Prime Number II,1,65536,0,1187,2694,0,False,False,False,0,0.32,0,1394,127,8,891,274
221,45,Sum and Average,1,65536,0,1356,3048,0,False,False,False,0,0.32,0,1559,127,1,1242,119
222,46,Differential,1,65536,0,1702,2620,0,False,False,False,0,0.32,0,1937,60,8,441,163
223,47,Cup Game,1,65536,0,1396,2669,0,False,False,False,0,0.32,0,1603,33,5,853,162
224,48,Class,1,65536,0,1396,2353,0,False,False,False,0,0.32,0,1566,88,0,620,79
225,49,Blood Groups,1,65536,0,1396,2420,0,False,False,False,0,0.32,0,1647,58,1,456,258
226,50,Apple and Peach,1,65536,0,1199,3144,0,False,False,False,0,0.32,0,1383,21,1,1577,162
227,51,Differential II,1,65536,0,1275,1922,0,False,False,False,0,0.32,0,1424,29,0,341,128
228,52,Factorial II,1,65536,0,1150,2134,0,False,False,False,0,0.32,0,1405,113,7,449,160
229,53,Sum of Prime Numbers,1,65536,0,1104,2756,0,False,False,False,0,0.32,0,1342,292,21,710,390
230,54,Sum of Nth decimal places,1,65536,0,881,3023,0,False,False,False,0,0.32,0,1047,53,0,1695,228
231,55,Sequence,1,65536,0,1160,2151,0,False,False,False,0,0.32,0,1365,49,0,656,81
232,56,Goldbach's Conjecture,1,65536,0,890,4133,0,False,False,False,0,0.32,0,1290,1734,12,823,266
233,57,The Number of Area,1,65536,0,1192,1828,0,False,False,False,0,0.32,0,1394,62,0,286,86
234,58,Orthogonal,1,65536,0,789,2893,0,False,False,False,0,0.32,0,954,17,0,1828,94
235,59,Intersection of Rectangles,1,65536,0,712,1978,0,False,False,False,0,0.32,0,838,17,0,1048,75
236,60,Card Game,1,65536,0,944,1695,0,False,False,False,0,0.32,0,1056,28,0,582,29
237,61,Rank Checker,1,65536,0,827,1469,0,False,False,False,0,0.32,0,946,103,5,314,101
